T1-C 1 1 3
T2-C 1 2 3
T3-C 1 3 3
T4-C 1 1 2
T5-C 1 2 2
T6-C 1 3 2
T7-C 1 1 1
T8-C 1 2 1
T9-C 1 3 1
T1-S 0 1 3
T2-S 0 2 3
T3-S 0 3 3
T4-S 0 1 2
T5-S 0 2 2
T6-S 0 3 2
T7-S 0 1 1
T8-S 0 2 1
T9-S 0 3 1
C1 1 1 8
C2 1 2 8
C3 1 3 8
C4 1 4 8
C5 1 5 8
C6 1 6 8
C7 1 7 8
C8 1 8 8
C9 1 1 7
C10 1 2 7
C11 1 3 7
C12 1 4 7
C13 1 5 7
C14 1 6 7
C15 1 7 7
C16 1 8 7
C17 1 1 6
C18 1 2 6
C19 1 3 6
C20 1 4 6
C21 1 5 6
C22 1 6 6
C23 1 7 6
C24 1 8 6
C25 1 1 5
C26 1 2 5
C27 1 3 5
C28 1 4 5
C29 1 5 5
C30 1 6 5
C31 1 7 5
C32 1 8 5
C33 1 1 4
C34 1 2 4
C35 1 3 4
C36 1 4 4
C37 1 5 4
C38 1 6 4
C39 1 7 4
C40 1 8 4
C41 1 1 3
C42 1 2 3
C43 1 3 3
C44 1 4 3
C45 1 5 3
C46 1 6 3
C47 1 7 3
C48 1 8 3
C49 1 1 2
C50 1 2 2
C51 1 3 2
C52 1 4 2
C53 1 5 2
C54 1 6 2
C55 1 7 2
C56 1 8 2
C57 1 1 1
C58 1 2 1
C59 1 3 1
C60 1 4 1
C61 1 5 1
C62 1 6 1
C63 1 7 1
C64 1 8 1
S1 0 1 8
S2 0 2 8
S3 0 3 8
S4 0 4 8
S5 0 5 8
S6 0 6 8
S7 0 7 8
S8 0 8 8
S9 0 1 7
S10 0 2 7
S11 0 3 7
S12 0 4 7
S13 0 5 7
S14 0 6 7
S15 0 7 7
S16 0 8 7
S17 0 1 6
S18 0 2 6
S19 0 3 6
S20 0 4 6
S21 0 5 6
S22 0 6 6
S23 0 7 6
S24 0 8 6
S25 0 1 5
S26 0 2 5
S27 0 3 5
S28 0 4 5
S29 0 5 5
S30 0 6 5
S31 0 7 5
S32 0 8 5
S33 0 1 4
S34 0 2 4
S35 0 3 4
S36 0 4 4
S37 0 5 4
S38 0 6 4
S39 0 7 4
S40 0 8 4
S41 0 1 3
S42 0 2 3
S43 0 3 3
S44 0 4 3
S45 0 5 3
S46 0 6 3
S47 0 7 3
S48 0 8 3
S49 0 1 2
S50 0 2 2
S51 0 3 2
S52 0 4 2
S53 0 5 2
S54 0 6 2
S55 0 7 2
S56 0 8 2
S57 0 1 1
S58 0 2 1
S59 0 3 1
S60 0 4 1
S61 0 5 1
S62 0 6 1
S63 0 7 1
S64 0 8 1
Trg1 0 -1 -1
Trg2 0 -1 -1
TCNIM1 0 -1 -1
TCNIM2 0 -1 -1
TCNIM3 0 -1 -1
TCNIM4 0 -1 -1
TCNIM5 0 -1 -1
TCNIM6 0 -1 -1
TCNIM7 0 -1 -1
TCNIM8 0 -1 -1
TCNIM9 0 -1 -1
TCNIM10 0 -1 -1
TCNIM11 0 -1 -1
TCNIM12 0 -1 -1
TCNIM13 0 -1 -1
TCNIM14 0 -1 -1
TCNIM15 0 -1 -1
TCNIM16 0 -1 -1
TCNIM17 0 -1 -1
TCNIM18 0 -1 -1
TCNIM19 0 -1 -1
TCNIM20 0 -1 -1
TCNIM21 0 -1 -1
TCNIM22 0 -1 -1
TCNIM23 0 -1 -1
TCNIM24 0 -1 -1
TCNIM25 0 -1 -1
TCNIM26 0 -1 -1
TCNIM27 0 -1 -1
TCNIM28 0 -1 -1
HX1 0 -1 -1
HX2 0 -1 -1
HX3 0 -1 -1
HX4 0 -1 -1
HX5 0 -1 -1
HX6 0 -1 -1
HX7 0 -1 -1
HX8 0 -1 -1
HX9 0 -1 -1
HX10 0 -1 -1
HX11 0 -1 -1
HX12 0 -1 -1
HX13 0 -1 -1
HX14 0 -1 -1
HX15 0 -1 -1
HX16 0 -1 -1
HY1 0 -1 -1
HY2 0 -1 -1
HY3 0 -1 -1
HY4 0 -1 -1
HY5 0 -1 -1
HY6 0 -1 -1
HY7 0 -1 -1
HY8 0 -1 -1
HY9 0 -1 -1
HY10 0 -1 -1
HY11 0 -1 -1
HY12 0 -1 -1
HY13 0 -1 -1
HY14 0 -1 -1
HY15 0 -1 -1
HY16 0 -1 -1
WCX 0 -1 -1
WCY 0 -1 -1
NIM 0 -1 -1
